::ffff:192.168.20.4 - - [18/Dec/2022:09:18:31 +0000] "GET /api/v1/buildings HTTP/1.1" 304 - "http://localhost:19006/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
::ffff:192.168.20.4 - - [18/Dec/2022:09:18:33 +0000] "GET /api/v1/units HTTP/1.1" 304 - "http://localhost:19006/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
::ffff:192.168.20.4 - - [18/Dec/2022:09:18:35 +0000] "GET /api/v1/units/6393e8d92881c716d3a29198 HTTP/1.1" 304 - "http://localhost:19006/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
::ffff:192.168.20.4 - - [18/Dec/2022:09:20:08 +0000] "GET /api/v1/buildings HTTP/1.1" 304 - "http://localhost:19006/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
::ffff:192.168.20.4 - - [18/Dec/2022:09:20:09 +0000] "GET /api/v1/units HTTP/1.1" 304 - "http://localhost:19006/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
::ffff:192.168.20.4 - - [18/Dec/2022:09:20:12 +0000] "GET /api/v1/units/6393e8d92881c716d3a29198 HTTP/1.1" 304 - "http://localhost:19006/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
::ffff:192.168.20.4 - - [18/Dec/2022:09:22:02 +0000] "GET /api/v1/buildings HTTP/1.1" 304 - "http://localhost:19006/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
::ffff:192.168.20.4 - - [18/Dec/2022:09:22:04 +0000] "GET /api/v1/units HTTP/1.1" 304 - "http://localhost:19006/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
::ffff:192.168.20.4 - - [18/Dec/2022:09:22:06 +0000] "GET /api/v1/units/639942b5ba5c9bfa7137ad72 HTTP/1.1" 200 302 "http://localhost:19006/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
::ffff:192.168.20.4 - - [18/Dec/2022:09:22:51 +0000] "GET /api/v1/buildings HTTP/1.1" 304 - "http://localhost:19006/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
::ffff:192.168.20.4 - - [18/Dec/2022:09:22:52 +0000] "GET /api/v1/units HTTP/1.1" 304 - "http://localhost:19006/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
::ffff:192.168.20.4 - - [18/Dec/2022:09:22:54 +0000] "GET /api/v1/units/6393e8d92881c716d3a29198 HTTP/1.1" 304 - "http://localhost:19006/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
::ffff:192.168.20.4 - - [18/Dec/2022:09:23:04 +0000] "GET /api/v1/units/6393e8e42881c716d3a291b0 HTTP/1.1" 200 2221 "http://localhost:19006/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
::ffff:192.168.20.4 - - [18/Dec/2022:09:23:08 +0000] "GET /api/v1/units/6393e8e92881c716d3a291c8 HTTP/1.1" 200 2221 "http://localhost:19006/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
::ffff:192.168.20.4 - - [18/Dec/2022:09:23:11 +0000] "GET /api/v1/units/6393e8ee2881c716d3a291e0 HTTP/1.1" 304 - "http://localhost:19006/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
::ffff:192.168.20.4 - - [18/Dec/2022:09:23:14 +0000] "GET /api/v1/units/6393e8f32881c716d3a291f8 HTTP/1.1" 200 2221 "http://localhost:19006/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
::ffff:192.168.20.4 - - [18/Dec/2022:09:23:18 +0000] "GET /api/v1/units/6393e8f32881c716d3a291f8 HTTP/1.1" 304 - "http://localhost:19006/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
::ffff:192.168.20.4 - - [18/Dec/2022:09:23:22 +0000] "GET /api/v1/units/639942b5ba5c9bfa7137ad72 HTTP/1.1" 304 - "http://localhost:19006/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
